型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
昂达小马31（奔腾版/64GB）,小马31系列,http://detail.zol.com.cn/notebook/index1170483.shtml,https://2e.zol-img.com.cn/product/182_80x60/628/ceaOEgDojma2Y.png,1899,正常,2011,Intel 奔腾四核 N4200,英特尔 奔腾四核,1.1GHz,2.5GHz,四核心/四线程,NULL,NULL,Apollo Lake,14nm,6W,4GB（4GB×1）,NULL,NULL,64GB,eMMC,639,核芯显卡,Intel GMA HD 505,共享内存容量,无,NULL,镁铝合金,NULL,NULL,锂聚合物电池，36瓦时,NULL,12mm,FHD，LED背光，IPS屏,支持双频（2.4GHz+5GHz）,内置双扬声器,1920x1080,2017年04月,220mm,NULL,NULL,家用,2×USB3.0,334mm,1.35Kg,NULL,020-87503599（华南）,周一至周五：9:30-17:30,NULL,100V-240V 自适应交流电源适配器,主机1年,内置音效芯片,无内置光驱,NULL,NULL,Ethernet（需外接设备）,NULL,NULL,影音娱乐本，时尚轻薄本，校园学生本,预装Windows 10 Home Basic（家庭普通版）,NULL,1年,金色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1充电器 x1使用指南 x1保修卡 x1合格证 x1,NULL,NULL,NULL,NULL,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,支持智能指纹识别功能,NULL,双路数字麦克风,NULL,NULL,TF卡扩展接口，最大支持256GB Micro SD（TF）卡,前置200万像素摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现质量问题或故障，可查询最近的维修点，由厂商的售后解决；也可凭厂商维修中心或特约维修点的质量检测证明，享受7日内退货，15日内换货。超过15天又在质保期内，可享受免费保修等三包服务。需要特别说明的是，凡是由人为造成的损坏不在以上保修之列，具体内容可以拨打客服热线咨询。进入官网>>,13.3英寸,NULL,NULL,7小时左右，视具体使用环境而定,Mini HDMI,支持4K高清播放器 （4096×2160），全格式视频，支持MP3，WMA，APE，WAV等多种音乐文件,NULL,NULL,不支持触控,NULL,巧克力键盘,电源接口
昂达小马31（4GB/64GB）,小马31系列,http://detail.zol.com.cn/notebook/index1168532.shtml,https://2c.zol-img.com.cn/product/181_80x60/212/ceCcDbZDx4vI2.jpg,1799,正常,1824,Intel 赛扬双核 N3450,英特尔 赛扬四核,1.1GHz,2.2GHz,四核心/四线程,NULL,NULL,Apollo Lake,14nm,6W,4GB（4GB×1）,NULL,NULL,64GB,eMMC5.0,596,核芯显卡,Intel GMA HD 500,共享内存容量,无,NULL,镁铝合金,NULL,NULL,锂聚合物电池，36瓦时,NULL,21.05mm,FHD，LED背光，IPS屏,Intel 3165 AC，支持802.11b/g/n无线协议，支持双频（2.4GHz+5GHz）,内置双扬声器,1920x1080,2017年04月,220mm,NULL,NULL,家用,2×USB3.0,334mm,1.35Kg,NULL,020-87503599（华南）,周一至周五：9:30-17:30,NULL,100V-240V 自适应交流电源适配器,主机1年,内置音效芯片,无内置光驱,NULL,NULL,OTG外接,NULL,NULL,影音娱乐本，时尚轻薄本，校园学生本,预装Windows 10 Home Basic（家庭普通版）,NULL,1年,金色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1充电器 x1使用指南 x1保修卡 x1合格证 x1,NULL,NULL,NULL,NULL,16:9,3.5mm耳机接口,NULL,支持，蓝牙4.0模块,支持智能指纹识别功能,NULL,内置麦克风,NULL,NULL,TF卡扩展接口，最大支持256GB Micro SD（TF）卡,前置200万像素摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现质量问题或故障，可查询最近的维修点，由厂商的售后解决；也可凭厂商维修中心或特约维修点的质量检测证明，享受7日内退货，15日内换货。超过15天又在质保期内，可享受免费保修等三包服务。需要特别说明的是，凡是由人为造成的损坏不在以上保修之列，具体内容可以拨打客服热线咨询。进入官网>>,13.3英寸,NULL,NULL,7小时左右，视具体使用环境而定,Mini HDMI,支持4K高清播放器 （4096×2160），全格式视频，支持MP3、WMA、APE、 WAV等多种音乐文件，Ethernet（需外接设备）,NULL,NULL,不支持触控,NULL,巧克力键盘,电源接口
昂达oBook11（2GB/32GB）,oBook11系列,http://detail.zol.com.cn/notebook/index1115537.shtml,https://2d.zol-img.com.cn/product/167_80x60/181/ceLYimAw0KEoo.jpg,999,正常,1202,Intel Atom X5 Z8300,英特尔 Atom,1.44GHz,1.84GHz,四核心/四线程,NULL,NULL,NULL,14nm,NULL,2GB（2GB×1）,NULL,NULL,32GB,eMMC硬盘,428,核芯显卡,Intel HD Graphics Gen8,共享内存容量,无,NULL,复合材质,HDMI线（Type D）,NULL,聚合物电池,NULL,16mm,FHD，IPS雾面宽屏,支持802.11b/g/n无线协议,内置扬声器,1920x1080,2015年11月,196mm,NULL,重力感应功能，霍尔传感器，SD卡扩展容量最大支持128GB,家用,USB2.0+USB3.0,290mm,1.19Kg,NULL,020-87503599（华南）,周一至周五：9:30-17:30,NULL,NULL,主机1年,内置音效芯片,无内置光驱,NULL,NULL,NULL,NULL,NULL,影音娱乐本，时尚轻薄本，校园学生本，二合一笔记本,预装Windows 10 Home Basic（家庭普通版）,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1使用指南 x1保修卡 x1合格证 x1,NULL,NULL,NULL,多合1读卡器,16:9,耳机输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现质量问题或故障，可查询最近的维修点，由厂商的售后解决；也可凭厂商维修中心或特约维修点的质量检测证明，享受7日内退货，15日内换货。超过15天又在质保期内，可享受免费保修等三包服务。需要特别说明的是，凡是由人为造成的损坏不在以上保修之列，具体内容可以拨打客服热线咨询。进入官网>>,11.6英寸,NULL,NULL,视具体使用环境而定,Micro HDMI,NULL,NULL,NULL,支持十点触控,NULL,NULL,电源接口
昂达oBook11（4GB/64GB）,oBook11系列,http://detail.zol.com.cn/notebook/index1142316.shtml,https://2c.zol-img.com.cn/product/171_80x60/564/ceAq8Gm84AiG.jpg,1299,正常,1202,Intel Atom X5 Z8300,英特尔 Atom,1.44GHz,1.84GHz,四核心/四线程,NULL,NULL,NULL,14nm,NULL,4GB（4GB×1）,NULL,NULL,64GB,eMMC硬盘,428,核芯显卡,Intel HD Graphics Gen8,共享内存容量,无,NULL,复合材质,HDMI线（Type D）,NULL,聚合物电池,NULL,16mm,FHD，LED背光，全视角IPS硬屏,支持802.11b/g/n无线协议,内置扬声器,1920x1080,2016年04月,196mm,NULL,重力感应功能，霍尔传感器,家用,1×USB2.0+1×USB3.0,290mm,1.19Kg,NULL,020-87503599（华南）,周一至周五：9:30-17:30,NULL,NULL,主机1年,内置音效芯片,无内置光驱,NULL,NULL,NULL,NULL,NULL,影音娱乐本，时尚轻薄本，校园学生本，二合一笔记本,预装Windows 10 Home Basic（家庭普通版）,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1使用指南 x1保修卡 x1合格证 x1,NULL,NULL,NULL,NULL,16:9,耳机输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现质量问题或故障，可查询最近的维修点，由厂商的售后解决；也可凭厂商维修中心或特约维修点的质量检测证明，享受7日内退货，15日内换货。超过15天又在质保期内，可享受免费保修等三包服务。需要特别说明的是，凡是由人为造成的损坏不在以上保修之列，具体内容可以拨打客服热线咨询。进入官网>>,11.6英寸,NULL,NULL,视具体使用环境而定,Micro HDMI,NULL,NULL,NULL,支持十点触控,NULL,NULL,电源接口，Ethernet接口
